Zafra,grupo,LOTE_N,CATEGORIA,NDVI,
2022/2023,"(90,120]",300201,BAJA RESPUESTA,0.643056274,
2022/2023,"(90,120]",300202,ALTA RESPUESTA,0.682254315,
2022/2023,"(90,120]",300202,BAJA RESPUESTA,0.626232021,
2022/2023,"(90,120]",300203,ALTA RESPUESTA,0.637863945,
2022/2023,"(90,120]",300203,BAJA RESPUESTA,0.668431083,
2022/2023,"(90,120]",300204,ALTA RESPUESTA,0.65627063,
2022/2023,"(90,120]",300205,ALTA RESPUESTA,0.680531417,
2022/2023,"(90,120]",300205,BAJA RESPUESTA,0.617567596,
2022/2023,"(90,120]",300206,ALTA RESPUESTA,0.430808531,
2022/2023,"(90,120]",300206,BAJA RESPUESTA,0.584829806,
2022/2023,"(90,120]",300207,ALTA RESPUESTA,0.657200943,
2022/2023,"(90,120]",300207,BAJA RESPUESTA,0.693660048,
2022/2023,"(90,120]",300208,BAJA RESPUESTA,0.644214352,
2022/2023,"(90,120]",300209,ALTA RESPUESTA,0.570347279,
2022/2023,"(90,120]",300209,BAJA RESPUESTA,0.5660823,
2022/2023,"(90,120]",300301,ALTA RESPUESTA,0.597153635,
2022/2023,"(90,120]",300301,BAJA RESPUESTA,0.620804366,
2022/2023,"(90,120]",300302,ALTA RESPUESTA,0.647165908,
2022/2023,"(90,120]",300303,ALTA RESPUESTA,0.734479784,
2022/2023,"(90,120]",300303,BAJA RESPUESTA,0.716659659,
2022/2023,"(90,120]",300305,ALTA RESPUESTA,0.544867081,
2022/2023,"(90,120]",300305,BAJA RESPUESTA,0.574174389,
2022/2023,"(90,120]",300306,ALTA RESPUESTA,0.702081946,
2022/2023,"(90,120]",300306,BAJA RESPUESTA,0.704750469,
2022/2023,"(90,120]",300310,ALTA RESPUESTA,0.596937777,
2022/2023,"(90,120]",300310,BAJA RESPUESTA,0.583454972,
2022/2023,"(90,120]",620101,ALTA RESPUESTA,0.681113528,
2022/2023,"(90,120]",620101,BAJA RESPUESTA,0.700459241,
2022/2023,"(90,120]",620103,ALTA RESPUESTA,0.697593459,
2022/2023,"(90,120]",620103,BAJA RESPUESTA,0.682426112,
2022/2023,"(90,120]",620201,ALTA RESPUESTA,0.704207303,
2022/2023,"(90,120]",620201,BAJA RESPUESTA,0.62169026,
2022/2023,"(90,120]",620202,BAJA RESPUESTA,0.700105606,
2022/2023,"(90,120]",3360101,ALTA RESPUESTA,0.738445355,
